Player,Nation,Pos,Squad,Age,Born,90s, Touches Att 3rd,Touches Att Pen box,Dribbles Attempted,Dribbles Succ%,Carries into the 1/3,SCA90,GCA90,Goals,Expected goals (xG),Non penalty Expected Goals (npxG),Progressive Distance,Assist,xA,Key passes
Steven Skrzybski,de GER,"FW,DF",Schalke 04,27,1992,4.7,88,12,7,71.4,5,1.72,0.21,0,1.3,0.5,516,0,0.1,2
Yann Sommer,ch SUI,GK,M'Gladbach,31,1988,30.1,0,0,0,,0,0,0,0,0,0,13362,0,0,0
Borna Sosa,hr CRO,DF,Stuttgart,22,1998,22.7,610,47,47,68.1,50,3.31,0.44,0,0.6,0.6,6758,9,5.9,57
Cebio Soukou,bj BEN,"FW,MF",Arminia,27,1992,5.1,75,10,15,33.3,4,1.57,0,1,0.8,0.8,288,0,0.1,4
Djibril Sow,ch SUI,MF,Eint Frankfurt,23,1997,24.2,302,22,28,64.3,38,1.66,0.21,0,0.6,0.6,4660,2,1.6,19
Jerry St. Juste,nl NED,DF,Mainz 05,23,1996,32,153,30,33,78.8,25,0.81,0.12,0,2,2,8655,1,0.2,5
Benjamin Stambouli,fr FRA,"MF,DF",Schalke 04,29,1990,21.7,124,5,24,79.2,18,0.92,0.14,0,0.1,0.1,6491,2,0.5,8
Josip Stanišić,de GER,DF,Bayern Munich,20,2000,1,16,2,0,,0,0,0,0,0.2,0.2,280,0,0,0
Niklas Stark,de GER,"DF,MF",Hertha BSC,25,1995,31,108,27,3,66.7,14,0.32,0,0,0.9,0.9,8379,0,0.2,4
Renato Steffen,ch SUI,"FW,MF",Wolfsburg,28,1991,17.4,335,54,19,63.2,35,2.82,0.46,5,4.3,4.3,2196,4,2.5,19
Pascal Stenzel,de GER,DF,Stuttgart,24,1996,14.2,119,6,13,69.2,7,0.71,0.07,0,0.1,0.1,7498,1,0.3,3
Lars Stindl,de GER,"MF,FW",M'Gladbach,31,1988,21.8,452,65,14,42.9,29,3.49,0.55,14,10,4.7,3329,8,5.6,44
Kevin Stöger,at AUT,"MF,FW",Mainz 05,26,1993,6,182,13,5,100,13,3.35,0,3,1.6,1.6,1683,0,0.9,10
Tobias Strobl,de GER,MF,Augsburg,30,1990,20.5,147,21,15,53.3,8,1.22,0.05,0,0.5,0.5,3661,0,0.9,14
Marek Suchý,cz CZE,DF,Augsburg,32,1988,3.4,1,0,0,,1,0,0,0,0,0,873,0,0,0
Niklas Süle,de GER,DF,Bayern Munich,24,1995,16.7,187,26,12,66.7,32,1.61,0.24,1,1.1,1.1,8251,0,0.3,8
Ádám Szalai,hu HUN,FW,Mainz 05,32,1987,8.1,169,52,18,66.7,4,1.47,0,1,2.2,2.2,512,0,0.6,5
Frederik Sørensen,dk DEN,DF,Köln,28,1992,1.1,3,2,2,100,0,0.91,0,0,0,0,428,0,0.1,1
