Player,Nation,Pos,Squad,Age,Born,90s, Touches Att 3rd,Touches Att Pen box,Dribbles Attempted,Dribbles Succ%,Carries into the 1/3,SCA90,GCA90,Goals,Expected goals (xG),Non penalty Expected Goals (npxG),Progressive Distance,Assist,xA,Key passes
Dedryck Boyata,be BEL,DF,Hertha BSC,29,1990,17.2,25,17,3,66.7,2,0.47,0,1,0.6,0.6,4618,0,0.7,5
Can Bozdogan,de GER,MF,Schalke 04,19,2001,7.2,77,14,18,27.8,6,1.24,0.41,0,0.4,0.4,622,2,0.5,5
Julian Brandt,de GER,"FW,MF",Dortmund,24,1996,16.6,545,65,47,66,26,4.03,0.54,3,3,3,3145,2,2.8,30
Fabian Bredlow,de GER,GK,Stuttgart,25,1995,1,0,0,0,,0,0,0,0,0,0,321,0,0,0
Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,535,65,45,57.8,46,3.62,0.55,7,3.7,3.7,3049,3,3.4,37
Joshua Brenet,nl NED,DF,Hoffenheim,26,1994,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0
John Brooks,us USA,DF,Wolfsburg,27,1993,30.8,51,26,11,63.6,14,0.71,0.03,2,1.6,1.6,11502,0,0.5,5
Daniel Brosinski,de GER,DF,Mainz 05,32,1988,15.9,314,8,20,45,19,2.45,0.25,2,1.8,0.3,5544,1,2.4,24
Cédric Brunner,ch SUI,DF,Arminia,26,1994,29.5,301,14,39,82.1,21,0.85,0.03,0,0.4,0.4,8397,1,1.1,17
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,21,1998,1,14,3,3,33.3,0,2.02,0,0,0,0,7,0,0,0
Marius Bülter,de GER,"FW,MF",Union Berlin,27,1993,10.9,197,21,24,54.2,21,2.12,0.28,1,2,2,954,0,1.2,11
Jonathan Burkardt,de GER,"FW,DF",Mainz 05,20,2000,15.3,287,76,50,46,20,1.9,0.33,2,4.5,4.5,1192,0,1.5,11
Nishan Burkart,ch SUI,MF,Freiburg,20,2000,0.2,1,0,1,100,0,0,0,0,0,0,21,0,0,0
Roman Bürki,ch SUI,GK,Dortmund,29,1990,18.5,0,0,0,,0,0.05,0.05,0,0,0,7874,0,0,0
Kerim Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,31,5,10,30,1,0,0,0,0.1,0.1,517,0,0,0
Daniel Caligiuri,it ITA,"MF,FW",Augsburg,32,1988,29.6,574,47,94,67,56,2.94,0.3,6,4.8,2.6,6675,4,3.7,48
Emre Can,de GER,"DF,MF",Dortmund,26,1994,23.7,222,29,45,82.2,45,1.43,0.25,1,0.8,0.8,9708,4,2.4,17
Koen Casteels,be BEL,GK,Wolfsburg,28,1992,32,0,0,2,100,0,0.06,0,0,0,0,17389,0,0,1
Gonzalo Castro,de GER,"MF,FW",Stuttgart,33,1987,19.2,466,47,42,64.3,43,4.01,0.26,4,3.3,3.3,4097,2,3,43
Sava Cestic,rs SRB,DF,Köln,19,2001,10,6,2,7,71.4,1,0.4,0,0,0.1,0.1,2532,0,0.1,2
Timothy Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,119,19,4,75,7,1.46,0,1,0.9,0.9,1166,0,0.3,4
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26,1994,2.4,48,10,11,63.6,3,2.08,0.42,0,0.1,0.1,206,0,0,1
Tahith Chong,nl NED,"FW,MF",Werder Bremen,20,1999,4.3,99,14,20,55,7,3.03,0.23,0,0.3,0.3,469,1,0.5,5
Darko Churlinov,mk MKD,"DF,FW",Stuttgart,20,2000,2.4,63,9,10,70,5,2.5,0.83,0,0.1,0.1,325,1,0.4,2
Tim Civeja,de GER,"MF,DF",Augsburg,18,2002,0.4,2,0,0,,0,2.65,0,0,0,0,88,0,0,0
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24,1996,19.5,735,145,103,64.1,36,4.52,0.92,5,4.1,4.1,2221,10,6.6,43
Jhon Córdoba,co COL,FW,Hertha BSC,27,1993,17.1,282,95,22,77.3,16,3.1,0.29,7,7.4,7.4,498,1,1.8,23
Sergio Córdova,ve VEN,"FW,MF",Arminia,22,1997,12.1,190,34,26,34.6,13,2.39,0.17,2,3.1,3.1,646,1,1.2,15
Danny da Costa,de GER,DF,Mainz 05,27,1993,13.4,223,18,26,73.1,20,1.64,0.22,0,0.2,0.2,3670,1,1.7,14
Danny da Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,31,4,2,50,0,2.45,0,0,0.2,0.2,294,0,0,0
Douglas Costa,br BRA,"FW,MF",Bayern Munich,29,1990,3.6,125,20,15,80,7,4.78,0.56,1,0.1,0.1,808,1,0.7,6
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19,2001,16.7,369,69,89,64,20,2.27,0.18,2,3.2,3.2,1365,1,1.8,14
Mickaël Cuisance,fr FRA,FW,Bayern Munich,20,1999,0.2,5,0,1,0,0,0,0,0,0,0,3,0,0,0
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21,1999,23.9,613,101,128,60.9,59,4.4,0.38,7,8.1,5.8,3590,4,5,48
Rafael Czichos,de GER,DF,Köln,30,1990,25.1,36,14,8,62.5,8,0.64,0,1,1.5,1.5,10619,0,0.1,3
Moanes Dabour,il ISR,FW,Hoffenheim,28,1992,11.1,241,53,44,59.1,12,2.34,0.27,4,5.1,4.3,1229,0,1,12
Finn Dahmen,de GER,GK,Mainz 05,22,1998,3,0,0,0,,0,0.33,0,0,0,0,554,0,0,0
Mahmoud Dahoud,de GER,MF,Dortmund,24,1996,14,250,11,31,80.6,24,2.58,0.36,1,0.5,0.5,3257,1,1.2,12
Leon Dajaku,de GER,FW,Union Berlin,19,2001,0.4,6,0,2,50,0,0,0,0,0,0,42,0,0,0
Tiago Dantas,pt POR,MF,Bayern Munich,19,2000,0.8,15,2,0,,1,1.3,0,0,0,0,131,0,0,1
Márton Dárdai,de GER,DF,Hertha BSC,18,2002,9.1,48,2,3,0,3,1.1,0.11,0,0.1,0.1,3757,1,0.2,4
Vladimír Darida,cz CZE,MF,Hertha BSC,29,1990,21.1,462,50,31,61.3,36,3.12,0.43,1,1.4,1.4,3811,6,5.8,39
Alphonso Davies,ca CAN,DF,Bayern Munich,19,2000,19.6,527,39,83,71.1,66,2.4,0.26,1,0.2,0.2,6501,2,0.8,13
Thomas Delaney,dk DEN,MF,Dortmund,28,1991,14.3,156,15,12,33.3,7,1.12,0,1,0.4,0.4,2962,1,0.2,4
Kerem Demirbay,de GER,MF,Leverkusen,27,1993,19.4,493,33,42,59.5,39,3.66,0.31,4,2.4,2.4,5747,3,2.6,36
Ermedin Demirović,ba BIH,FW,Freiburg,22,1998,16.6,258,75,25,56,8,2.04,0.66,5,4.7,4.7,838,6,3.1,13
Emmanuel Dennis,ng NGA,FW,Köln,22,1997,5.3,107,29,24,58.3,11,1.9,0.19,0,0.6,0.6,204,1,1.2,4
Mike van der Hoorn,nl NED,DF,Arminia,27,1992,15.1,15,9,2,50,1,0.4,0,0,0.3,0.3,4775,0,0.1,3
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21,1999,26.5,680,114,122,46.7,74,2.94,0.64,4,5.6,5.6,2391,11,6.8,44
Daniel Didavi,de GER,"FW,MF",Stuttgart,30,1990,10.8,258,33,13,76.9,25,3.15,0.46,4,3.2,3.2,1950,3,3,25
Javairô Dilrosun,nl NED,"FW,MF",Hertha BSC,22,1998,5.9,97,19,25,48,9,2.55,0.51,0,0.8,0.8,555,1,0.5,6
Eren Dinkçi,de GER,"FW,MF",Werder Bremen,18,2001,1.2,26,8,3,33.3,0,2.5,0,1,0.4,0.4,128,0,0.1,3
Ritsu Doan,jp JPN,"MF,FW",Arminia,22,1998,30.8,655,97,130,52.3,63,2.89,0.16,5,5.2,5,3791,2,3.3,46
Ji Dong-won,kr KOR,FW,Mainz 05,29,1991,0.7,9,2,0,,0,2.9,0,0,0,0,78,0,0,1
Bas Dost,nl NED,FW,Eint Frankfurt,31,1989,9.1,141,38,1,100,2,1.98,0.33,4,4.3,3.5,701,2,2.3,11
Aleksandar Dragović,at AUT,DF,Leverkusen,29,1991,12.6,126,6,5,100,22,1.27,0.08,1,0.3,0.3,6358,0,0.4,6
Dominick Drexler,de GER,"MF,FW",Köln,30,1990,13.7,281,48,18,55.6,17,2.26,0.07,2,2.8,2.8,1589,1,1.6,14
Ondrej Duda,sk SVK,"FW,MF",Köln,25,1994,28.2,600,53,78,71.8,31,3.02,0.28,7,5.8,2.8,4615,5,4.1,44
Erik Durm,de GER,DF,Eint Frankfurt,28,1992,16.4,276,32,19,57.9,19,1.64,0.3,1,1.6,1.6,3949,2,2.1,12
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22,1998,0.4,6,1,0,,2,2.73,0,0,0,0,26,0,0,1
Maximilian Eggestein,de GER,MF,Werder Bremen,23,1996,32.7,384,30,29,55.2,44,1.77,0.28,2,1.1,1.1,6336,5,3.3,26
Lilian Egloff,de GER,MF,Stuttgart,17,2002,0.2,4,1,1,100,0,0,0,0,0,0,3,0,0,0
Kingsley Ehizibue,nl NED,DF,Köln,25,1995,12.6,200,13,31,61.3,17,1.27,0.24,0,0.5,0.5,3261,1,0.7,7
Nico Elvedi,ch SUI,DF,M'Gladbach,23,1996,28.2,33,18,3,66.7,3,0.46,0.14,3,2,2,8987,1,0.2,3
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23,1997,16,313,95,63,65.1,19,2.94,0.62,5,7,7,697,2,1,14
Keita Endo,jp JPN,"MF,FW",Union Berlin,22,1997,5.1,77,21,7,42.9,8,2.76,0,1,1.2,1.2,400,0,1.1,6
Wataru Endo,jp JPN,MF,Stuttgart,27,1993,32.8,314,27,45,64.4,43,2.04,0.18,3,2.3,2.3,8622,3,2.1,25
Patrick Erras,de GER,"FW,MF",Werder Bremen,25,1995,0.3,11,1,0,,0,6.92,0,0,0,0,77,0,0,1
Ralf Fährmann,de GER,GK,Schalke 04,31,1988,20.8,1,1,0,,0,0.34,0,0,0.1,0.1,9206,0,0.1,2
Ohis Felix Uduokhai,de GER,DF,Augsburg,22,1997,29,90,29,20,80,7,0.34,0.03,1,1.2,1.2,8174,0,0.2,3
Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,24,1996,9.3,108,5,6,66.7,8,1.61,0.11,0,0.7,0.7,1795,1,0.9,10
Alfreð Finnbogason,is ISL,FW,Augsburg,31,1989,6,105,30,8,62.5,1,3.14,0.17,0,3.1,1.6,438,1,1.4,10
Mark Flekken,nl NED,GK,Freiburg,27,1993,3,0,0,0,,0,0,0,0,0,0,2383,0,0,0
Florian Flick,de GER,MF,Schalke 04,20,2000,4,11,1,1,0,0,0.75,0.25,1,0.5,0.5,500,0,0,0
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,28,1991,17.1,414,77,34,79.4,25,4.39,0.53,7,5.8,3.6,1730,4,5.3,33
Philipp Förster,de GER,"FW,MF",Stuttgart,25,1995,16.8,406,66,31,48.4,72,3.46,0.3,3,4.2,3.3,2838,1,2.6,26
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,22,1998,4.5,74,4,7,57.1,5,1.32,0,0,0.2,0.2,2013,0,0.1,3
Raphael Framberger,de GER,DF,Augsburg,24,1995,17.1,238,9,31,41.9,30,1.23,0.06,0,0,0,4384,1,2,11
Marco Friedl,at AUT,DF,Werder Bremen,22,1998,30.9,117,5,17,47.1,16,0.78,0.06,0,0.7,0.7,11154,0,0.6,9
Marvin Friedrich,de GER,DF,Union Berlin,24,1995,34,164,41,20,60,26,0.76,0.15,5,1.3,1.3,11989,2,0.8,12
Jeremie Frimpong,nl NED,"DF,FW",Leverkusen,19,2000,4.8,149,16,36,50,18,2.06,0.41,0,0.1,0.1,1011,0,0.6,4
Niclas Füllkrug,de GER,"FW,MF",Werder Bremen,27,1993,9.7,175,58,22,54.5,5,1.85,0.21,6,6,4.5,542,0,0.2,6
Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,25,1995,9.1,223,24,20,30,12,2.63,0.33,0,1.8,1.8,2012,2,1.9,10
Christian Gebauer,at AUT,"MF,FW",Arminia,26,1993,7.6,103,22,9,55.6,6,1.83,0.13,1,2,2,816,1,0.6,9
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,33,1986,33.7,460,39,12,41.7,27,1.13,0.12,3,1.4,1.4,9738,1,1.2,20
Emrehan Gedikli,de GER,FW,Leverkusen,17,2003,0.3,4,1,0,,0,3.6,0,0,0,0,9,0,0,0
Dennis Geiger,de GER,MF,Hoffenheim,22,1998,7.3,127,7,5,80,12,3.28,0.14,1,0.3,0.3,1812,1,1.7,14
Christian Gentner,de GER,MF,Union Berlin,34,1985,11.5,139,9,11,63.6,8,1.57,0.09,0,0.3,0.3,1820,0,1,7
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,26,1994,21.5,356,71,26,50,26,1.77,0.33,2,3.9,3.9,2817,4,3.4,24
Hamadi Al Ghaddioui,ma MAR,"FW,MF",Stuttgart,29,1990,0.5,14,2,0,,0,3.91,0,0,0.2,0.2,60,0,0,0
Niko Gießelmann,de GER,DF,Union Berlin,28,1991,4.8,95,4,5,40,9,1.26,0,0,0.1,0.1,1319,0,0.3,3
Rafał Gikiewicz,pl POL,GK,Augsburg,32,1987,34,0,0,1,100,0,0.09,0.03,0,0,0,17464,0,0,0
Daniel Ginczek,de GER,"FW,MF",Wolfsburg,29,1991,2.4,43,12,5,60,0,2.09,0,0,0.4,0.4,144,0,0.3,4
Matthias Ginter,de GER,DF,M'Gladbach,26,1994,34,169,41,13,76.9,37,0.88,0.15,2,2.1,2.1,15161,1,2,11
Robert Glatzel,de GER,FW,Mainz 05,26,1994,4,101,35,14,50,4,2.76,0.75,2,2.9,2.9,259,1,0.6,2
Serge Gnabry,de GER,"FW,MF",Bayern Munich,25,1995,18.3,636,142,66,54.5,45,4.32,0.6,10,8,8,2472,2,4.6,33
Akaki Gogia,de GER,FW,Union Berlin,28,1992,1.6,39,7,6,66.7,2,3.21,1.93,0,0.1,0.1,262,1,0.4,2
Nicolás González,ar ARG,"FW,DF",Stuttgart,22,1998,10.4,205,75,26,61.5,17,2.89,0.67,6,8.1,5.2,791,2,2,11
Leon Goretzka,de GER,MF,Bayern Munich,25,1995,18.9,326,61,19,63.2,30,2.43,0.74,5,4.1,4.1,4003,5,2.6,20
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,29,1991,31.5,87,17,24,75,18,0.76,0.03,1,0.4,0.4,10899,0,0.2,8
Demarai Gray,eng ENG,FW,Leverkusen,24,1996,4.9,147,36,21,61.9,11,3.26,0.41,1,1.2,1.2,462,2,0.8,8
Michael Gregoritsch,at AUT,"FW,MF",Augsburg,26,1994,9.3,112,24,16,68.8,11,1.62,0.43,1,1,1,733,2,1.3,6
Sebastian Griesbeck,de GER,MF,Union Berlin,29,1990,9.9,80,10,4,25,6,0.61,0.1,0,0.4,0.4,759,0,0,1
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,27,1993,25.7,645,77,67,52.2,50,4.63,0.7,9,7.9,4.9,5194,10,6.2,63
Lennart Grill,de GER,GK,Leverkusen,21,1999,4,0,0,0,,0,0.25,0,0,0,0,1883,0,0,0
Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,24,1995,20.9,263,29,23,82.6,31,2.01,0.34,2,2,2,8142,1,1.7,14
Christian Groß,de GER,"MF,DF",Werder Bremen,31,1989,16.3,71,5,10,80,4,0.86,0.06,0,0.4,0.4,3716,1,0.6,5
Ilia Gruev,bg BUL,FW,Werder Bremen,20,2000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Carlos Gruezo,ec ECU,MF,Augsburg,25,1995,23.2,111,4,14,71.4,12,0.95,0,0,0.3,0.3,3277,0,0.6,9
Mattéo Guendouzi,fr FRA,MF,Hertha BSC,21,1999,20.2,289,35,30,53.3,31,1.88,0.15,2,1,1,4570,1,1.4,15
Raphaël Guerreiro,pt POR,DF,Dortmund,26,1993,24.6,801,96,52,61.5,80,3.53,0.65,5,3.8,3.8,12371,10,7,53
Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,29,1990,8.3,60,4,4,100,3,1.33,0,0,0.3,0.3,2169,1,0.1,4
Péter Gulácsi,hu HUN,GK,RB Leipzig,30,1990,33,0,0,0,,0,0.06,0,0,0,0,13524,0,0,0
Manuel Gulde,de GER,DF,Freiburg,29,1991,21.7,48,18,5,80,5,0.28,0.05,2,1.1,1.1,5336,0,0,0
Robert Gumny,pl POL,DF,Augsburg,22,1998,15.3,223,15,19,63.2,10,0.98,0.13,1,0.8,0.8,2979,0,0.5,7
Christian Günter,de GER,DF,Freiburg,27,1993,34,717,62,40,47.5,57,3,0.24,3,0.9,0.9,9621,3,5.9,70
Erling Haaland,no NOR,FW,Dortmund,20,2000,26.7,444,190,43,65.1,27,2.32,0.6,27,23.7,20.5,811,6,5.4,23
Janik Haberer,de GER,"MF,FW",Freiburg,26,1994,5.4,92,12,8,87.5,13,1.3,0,0,1.1,1.1,628,0,0.1,2
Alexander Hack,de GER,DF,Mainz 05,26,1993,15.2,29,15,8,87.5,5,0.72,0.07,1,0.3,0.3,4798,0,0.4,6
André Hahn,de GER,"FW,MF",Augsburg,29,1990,22.6,301,73,42,52.4,13,1.41,0.35,8,5.4,5.4,989,3,1.8,17
Amadou Haidara,ml MLI,"MF,DF",RB Leipzig,22,1998,21.2,523,65,41,56.1,36,3.17,0.19,3,4.4,4.4,4265,1,2.6,33
Marcel Halstenberg,de GER,DF,RB Leipzig,28,1991,18.3,333,31,23,73.9,51,2.89,0.22,2,1.9,1.1,9082,2,2.5,27
Amine Harit,ma MAR,"MF,FW",Schalke 04,23,1997,23.3,504,65,140,69.3,46,3.64,0.3,2,1.4,1.4,3670,5,4.9,46
Marcel Hartel,de GER,MF,Arminia,24,1996,18.7,284,27,40,52.5,20,1.55,0.05,0,1.2,1.2,2697,0,1.2,14
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,36,1984,25.4,145,3,10,60,33,1.53,0.04,0,0.2,0.2,9093,0,0.2,5
Thorgan Hazard,be BEL,"FW,MF",Dortmund,27,1993,7.3,179,20,14,57.1,15,2.75,0.41,1,0.6,0.6,1594,3,2.8,13
Jonas Hector,de GER,MF,Köln,30,1990,14.3,223,41,12,50,10,2.51,0.28,3,3.4,3.4,1951,1,1.6,18
Hwang Hee-chan,kr KOR,"FW,MF",RB Leipzig,24,1996,5.1,101,33,20,55,6,2.15,0.59,0,1.6,1.6,295,1,0.9,4
Dominique Heintz,de GER,DF,Freiburg,26,1993,15.2,35,5,9,88.9,10,0.39,0,0,0.3,0.3,6231,0,0.4,3
Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,23,1997,6,131,16,2,100,7,1,0.17,0,0.2,0.2,1621,1,0.6,3
Lucas Hernández,fr FRA,DF,Bayern Munich,24,1996,17.7,318,25,33,66.7,30,1.35,0.23,0,0.8,0.8,7512,2,1.2,13
Patrick Herrmann,de GER,FW,M'Gladbach,29,1991,9.7,236,46,16,62.5,13,3.8,0.31,0,2.6,2.6,1191,3,1.7,21
Martin Hinteregger,at AUT,DF,Eint Frankfurt,27,1992,28.1,121,32,16,50,13,1.1,0.14,2,2,2,11615,1,0.7,8
Marwin Hitz,ch SUI,GK,Dortmund,32,1987,15.5,0,0,0,,0,0,0,0,0,0,7364,0,0,0
Nicolas Höfler,de GER,MF,Freiburg,30,1990,30.3,268,31,55,72.7,22,1.55,0.36,1,1.5,1.5,6280,3,1.5,18
Jonas Hofmann,de GER,"FW,MF",M'Gladbach,28,1992,20.2,477,76,28,46.4,32,4.16,0.59,6,4.9,2.7,4327,11,5.5,57
Marco Höger,de GER,DF,Köln,30,1989,0.6,10,1,1,100,0,0,0,0,0,0,167,0,0,0
Lucas Höler,de GER,"FW,MF",Freiburg,26,1994,23.2,463,110,53,58.5,32,2.24,0.34,4,7.4,7.4,1284,4,3,21
Matthew Hoppe,us USA,FW,Schalke 04,19,2001,14.5,151,46,25,44,9,1.31,0.14,6,3.4,3.4,442,1,0.8,7
Jannes Horn,de GER,DF,Köln,23,1997,19.6,214,7,13,53.8,24,1.43,0.1,0,0.2,0.2,6270,1,1.6,15
Timo Horn,de GER,GK,Köln,27,1993,33.4,1,0,3,100,0,0.12,0,0,0,0,19007,0,0,1
Lukáš Hrádecký,fi FIN,GK,Leverkusen,30,1989,28.5,0,0,0,,0,0.14,0,0,0,0,19082,0,0,0
Ajdin Hrustic,au AUS,"MF,FW",Eint Frankfurt,24,1996,3,116,9,7,100,10,3.97,0.99,1,0.3,0.3,1166,0,0.4,6
Florian Hübner,de GER,DF,Union Berlin,29,1991,5.8,22,5,0,,2,0,0,0,0.1,0.1,1367,0,0,0
Mats Hummels,de GER,DF,Dortmund,31,1988,31.3,96,42,10,80,20,0.86,0.06,5,3.4,3.4,14700,0,0.9,10
Klaas-Jan Huntelaar,nl NED,FW,Schalke 04,36,1983,6.5,55,19,5,60,2,1.99,0.46,2,3.4,2.5,228,1,0.5,4
Iago,br BRA,DF,Augsburg,23,1997,17.3,242,17,19,47.4,25,1.73,0.17,1,0.9,0.9,3885,1,1.1,14
Vedad Ibišević,ba BIH,FW,Schalke 04,35,1984,1.7,17,6,0,,0,2.88,0,0,0.5,0.5,42,0,0,2
Blendi Idrizi,xk KVX,MF,Schalke 04,22,1998,2.6,24,2,1,0,1,0.38,0,1,0.5,0.5,288,0,0.2,1
Stefan Ilsanker,at AUT,"MF,DF",Eint Frankfurt,31,1989,17.5,111,12,12,83.3,13,0.74,0.06,1,1.2,1.2,4416,0,0.2,5
Marcus Ingvartsen,dk DEN,"MF,FW",Union Berlin,24,1996,21.8,338,50,43,39.5,22,2.11,0.41,3,4.1,3.4,2027,5,2.1,21
Ismail Jakobs,de GER,"DF,MF",Köln,20,1999,19.2,379,51,25,44,23,1.46,0.1,1,2,2,2715,1,2,14
Tony Jantschke,de GER,DF,M'Gladbach,30,1990,3,10,3,1,100,0,1,0,0,0.2,0.2,1490,0,0,0
Rune Jarstein,no NOR,GK,Hertha BSC,35,1984,8,0,0,0,,0,0,0,0,0,0,4035,0,0,0
Tin Jedvaj,hr CRO,DF,Leverkusen,24,1995,1.7,14,1,1,0,1,0.59,0,0,0,0,943,0,0,0
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,22,1997,4.2,63,13,15,46.7,2,2.15,0.72,0,0.3,0.3,352,1,1,6
Marco John,de GER,DF,Hoffenheim,18,2002,11.1,244,28,31,45.2,7,1.81,0.09,0,0.2,0.2,2701,0,1.6,10
Luka Jović,rs SRB,"FW,MF",Eint Frankfurt,22,1997,9.9,172,51,26,73.1,8,1.51,0.3,4,2.7,2.7,899,1,0.6,5
Ozan Kabak,tr TUR,DF,Schalke 04,20,2000,13.8,44,16,23,65.2,6,0.72,0,0,1,1,3961,0,0.2,3
Pavel Kadeřábek,cz CZE,DF,Hoffenheim,28,1992,17.6,398,37,21,38.1,38,2.04,0.34,0,1.2,1.2,4948,4,3.3,23
Florian Kainz,at AUT,"FW,MF",Köln,27,1992,5,109,12,13,69.2,11,4.03,0.4,1,0.6,0.6,899,0,1,10
Sasa Kalajdzic,at AUT,FW,Stuttgart,23,1997,23.7,434,129,43,48.8,8,2.36,0.46,16,9,9,1065,5,3.5,23
Daichi Kamada,jp JPN,"MF,FW",Eint Frankfurt,23,1996,26.2,614,100,70,55.7,33,4.05,0.8,5,5.6,5.6,3946,12,7.5,52
Marcin Kamiński,pl POL,DF,Stuttgart,28,1992,2.4,18,1,0,,5,2.88,0.41,0,0,0,1522,0,0.2,2
Kevin Kampl,si SVN,MF,RB Leipzig,29,1990,21.5,337,11,22,81.8,46,2.19,0.33,0,1.2,1.2,4772,1,1.9,16
Jimmy Kaparos,de GER,MF,Schalke 04,18,2001,0.2,0,0,0,,0,0,0,0,0,0,19,0,0,0
Atakan Karazor,de GER,"DF,MF",Stuttgart,23,1996,11.5,48,5,8,87.5,7,0.78,0.09,0,0.1,0.1,3469,0,0.1,2
Loris Karius,de GER,GK,Union Berlin,27,1993,3.2,0,0,0,,0,0,0,0,0,0,1579,0,0,0
Noah Katterbach,de GER,DF,Köln,19,2001,12.3,236,4,33,66.7,22,2.11,0.24,0,0.2,0.2,4108,0,1.2,12
Yannik Keitel,de GER,MF,Freiburg,20,2000,5.5,56,4,6,66.7,4,1.08,0,0,0.3,0.3,659,0,0.2,3
Marc-Oliver Kempf,de GER,DF,Stuttgart,25,1995,30.3,145,19,32,65.6,32,1.02,0.07,2,1.3,1.3,12272,1,0.4,11
Rani Khedira,de GER,MF,Augsburg,26,1994,20.2,116,18,3,66.7,6,0.64,0,1,1,1,2189,0,0.2,7
Sami Khedira,de GER,MF,Hertha BSC,33,1987,4.4,34,5,2,100,1,1.14,0.23,0,0,0,737,1,0.5,3
Luca Kilian,de GER,DF,Mainz 05,20,1999,4.2,6,2,0,,0,0.24,0,0,0,0,1057,0,0,1
Joshua Kimmich,de GER,MF,Bayern Munich,25,1995,24.4,737,35,34,64.7,59,4.8,0.7,4,2.5,2.5,11583,10,6.6,67
Davy Klaassen,nl NED,MF,Werder Bremen,27,1993,2.5,29,2,3,33.3,1,1.22,0.41,0,0.1,0.1,215,0,0,0
Felix Klaus,de GER,"DF,MF",Wolfsburg,27,1992,1.5,35,1,2,50,4,0,0,0,0,0,197,0,0,0
Klauss,br BRA,FW,Hoffenheim,23,1997,0.6,19,2,1,100,1,5.29,0,0,0.1,0.1,100,0,0.3,2
Philipp Klement,de GER,"MF,FW",Stuttgart,27,1992,4.7,125,4,10,50,6,5.77,0.86,1,0.3,0.3,1697,2,1.7,17
Mateo Klimowicz,de GER,"FW,MF",Stuttgart,20,2000,13.3,237,47,44,54.5,26,2.7,0.6,1,3.8,3.8,958,1,1.2,13
Fabian Klos,de GER,FW,Arminia,32,1987,30.1,529,132,29,37.9,19,1.96,0.2,5,7.9,6.4,1943,2,3.5,28
Lukas Klostermann,de GER,DF,RB Leipzig,24,1996,16.1,188,27,8,37.5,9,1.31,0.06,1,0.8,0.8,6154,0,0.5,4
Justin Kluivert,nl NED,FW,RB Leipzig,21,1999,9,232,71,41,56.1,7,2.55,0.33,3,3.6,3.6,517,1,1.2,12
Lukas Klünter,de GER,DF,Hertha BSC,24,1996,11,62,3,9,66.7,14,0.73,0.27,0,0,0,2890,0,0.3,3
Ansgar Knauff,de GER,"FW,MF",Dortmund,18,2002,0.8,20,5,11,63.6,2,10.14,2.54,1,0.1,0.1,139,1,1,4
Robin Knoche,de GER,DF,Union Berlin,28,1992,33.8,63,22,8,62.5,9,0.47,0.06,1,0.9,0.9,11576,0,0.3,3
Gregor Kobel,ch SUI,GK,Stuttgart,22,1997,33,0,0,1,100,0,0.03,0,0,0,0,13874,0,0,1
Dominik Kohr,de GER,MF,Mainz 05,26,1994,14.1,163,21,6,50,13,1.42,0.14,1,0.9,0.9,2254,1,1.2,6
Dominik Kohr,de GER,"MF,FW",Eint Frankfurt,26,1994,2.9,70,8,3,100,5,1.38,0,0,0.5,0.5,686,0,0,1
Sead Kolašinac,ba BIH,"DF,MF",Schalke 04,27,1993,15.8,202,32,28,60.7,20,1.26,0.13,1,0.4,0.4,3547,1,1.6,12
Ibrahima Konaté,fr FRA,DF,RB Leipzig,21,1999,7.7,31,10,7,85.7,6,0.13,0,1,0.5,0.5,2611,0,0,0
Filip Kostić,rs SRB,DF,Eint Frankfurt,27,1992,28.2,921,120,66,51.5,70,4.26,0.85,4,3.9,3.9,8002,14,11.5,90
Nianzou Kouassi,fr FRA,"DF,MF",Bayern Munich,18,2002,1.3,5,0,1,100,2,1.53,0,0,0,0,583,0,0,0
